1000 333
435 619 3.86008535700135
820 19 8.66287525186447
71 333 9.08442527735829
975 888 3.31806602213707
844 325 3.23759045527375
232 423 1.72989270316659
706 276 1.53826080539432
730 777 4.09868129239658
418 10 4.43499223404778
415 816 9.07771831466345
983 426 9.89665641928795
190 277 8.85159066056108
866 50 3.81170666801701
383 5 8.32247485353147
344 561 2.98599849095041
562 170 4.66905046510437
123 224 5.3756319759875
767 336 1.85423157347696
508 928 5.06944843461909
110 344 7.40531548103039
925 652 2.67631472893477
174 291 6.18703380806974
170 693 2.40021131642607
417 794 5.83372775652823
879 993 5.03623752125684
168 281 9.94414668422632
932 639 9.67803408799952
435 170 5.80438912811108
220 28 8.19393530895276
735 789 6.83463544958666
904 532 0.106850905493445
546 873 7.61952089553194
441 463 3.97644787245973
503 926 7.13183148223532
679 204 3.21051551741348
561 30 9.84075311481948
109 68 4.54608320807331
25 633 0.637385211862487
522 13 9.08691428126701
416 140 0.258645843265874
648 269 7.99361661525431
297 797 4.70531305304245
187 760 8.95632862541319
887 477 8.19792856912418
889 922 5.4616484526921
306 761 3.75128315882645
526 896 6.49435333352386
785 429 3.70420510613616
8 723 7.93140560874825
134 218 7.76968247130394
952 264 6.05836751978885
534 300 6.55491255381211
870 998 8.61606329684555
275 854 0.0548433001810267
455 225 5.26363920840936
379 150 8.14859764362257
223 283 5.36470046849665
662 905 1.74700962575638
552 541 4.90351265602087
735 159 9.9352850339378
874 320 5.35304956098265
311 746 8.51576962394514
708 360 7.61942058547191
588 677 4.5338130076637
588 858 0.848775088196234
601 933 3.01509967320765
10 316 3.41107195885812
658 517 7.51020569107428
734 829 2.18738136685495
508 471 3.399934451385
577 478 9.65423043187059
219 368 5.02889047532836
452 364 9.94602307116956
580 419 0.733125789524927
194 567 2.10090982536585
488 361 2.39405790858459
669 243 8.29123895211843
55 939 6.42635784480145
292 690 1.9312114485993
984 253 1.62365206149179
515 266 1.70646456773305
315 144 9.68537601058852
700 188 9.58280453678711
47 178 9.48907537713243
556 955 6.84836987324111
185 383 6.34883992364248
905 358 5.2973460485714
982 325 6.34914642323555
684 640 4.67862763954251
448 11 6.44505508118026
173 458 7.3058402315614
177 727 7.14036489465091
94 418 7.77941453030998
227 223 2.50935106940968
918 889 3.75869233140833
2 853 9.18406879268975
479 543 6.86529389701001
507 816 3.31828535477523
984 932 3.04140521684431
539 326 3.25531705998802
696 271 4.89839357233116
398 826 4.66023812482742
786 158 7.37264314477613
985 227 9.44275020003648
615 229 8.31398878088571
704 176 6.37415391220554
843 257 6.64563402087182
382 600 3.62147468444764
619 370 2.05449536661696
716 863 1.79175781774344
693 868 7.6532409471136
511 542 3.36413737339303
369 922 8.24498748409859
841 704 5.39985619216491
105 31 9.15689621351319
167 29 9.42450687044474
337 637 0.244942340853598
982 443 7.82840176522964
393 424 5.96409681159571
607 370 4.73251282729382
618 552 2.7699981349496
302 603 4.84068955152292
367 128 7.23120064735596
762 42 2.42301483149365
557 463 1.05385563144331
923 138 1.87193053835184
383 520 1.78947753617621
631 70 6.6595327764897
130 977 4.34257448775121
106 759 5.69285329841744
317 936 9.30314939666701
245 976 9.8794736527481
457 109 1.07867809671468
603 186 5.17098739307723
246 352 2.62764044955304
390 423 1.14348863678334
667 845 0.106700992006878
130 208 8.91271486609423
818 743 7.6823412965733
69 828 7.17669231631167
767 312 7.24985637859483
831 746 6.18661539778824
666 389 0.541511127900378
999 448 8.69552599961953
818 286 3.27288373622444
41 420 1.18940492046232
786 943 2.05489060980611
620 476 4.06675244053762
238 936 4.13112332133728
679 991 8.9999548128716
389 840 2.13031486221098
360 908 3.18388309214914
150 223 9.55147138745694
70 345 3.89830731933397
594 956 4.5569919733525
862 840 0.704464307536661
749 201 1.40686268089929
328 47 8.87285070285142
228 366 8.85178834109269
427 240 7.09603885948543
322 37 9.51082087266478
